name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,logloss,0.6609649038766238,2.67
2_DecisionTree,Decision Tree,logloss,0.6406278984317594,13.69
3_Linear,Linear,logloss,0.13259575764499648,7.01
4_Default_Xgboost,Xgboost,logloss,0.043948987136713545,15.64
5_Default_NeuralNetwork,Neural Network,logloss,0.22680712799530678,3.69
6_Default_RandomForest,Random Forest,logloss,0.10250402582839291,16.33
Ensemble,Ensemble,logloss,0.043948984762167374,0.77
